"filename", "language", "Dart", "Properties", "Groovy", "XML", "YAML", "JSON", "Markdown", "HTML", "C++", "Swift", "comment", "blank", "total"
"c:\Users\ara98\Desktop\flutterapp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\ara98\Desktop\flutterapp\android\app\build.gradle", "Groovy", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 3, 11, 60
"c:\Users\ara98\Desktop\flutterapp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 1, 10
"c:\Users\ara98\Desktop\flutterapp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 11, 2, 48
"c:\Users\ara98\Desktop\flutterapp\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\ara98\Desktop\flutterapp\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\ara98\Desktop\flutterapp\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\ara98\Desktop\flutterapp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\ara98\Desktop\flutterapp\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\ara98\Desktop\flutterapp\android\build.gradle", "Groovy", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\ara98\Desktop\flutterapp\android\gradle.properties", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ara98\Desktop\flutterapp\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\ara98\Desktop\flutterapp\android\settings.gradle", "Groovy", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\ara98\Desktop\flutterapp\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\ara98\Desktop\flutterapp\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"c:\Users\ara98\Desktop\flutterapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ara98\Desktop\flutterapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\ara98\Desktop\flutterapp\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\ara98\Desktop\flutterapp\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\ara98\Desktop\flutterapp\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\ara98\Desktop\flutterapp\lib\main.dart", "Dart", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 222
"c:\Users\ara98\Desktop\flutterapp\pubspec.yaml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 48, 14, 79
"c:\Users\ara98\Desktop\flutterapp\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\ara98\Desktop\flutterapp\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 15, 5, 46
"c:\Users\ara98\Desktop\flutterapp\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 207, 8, 81, 132, 17, 168, 13, 26, 1, 12, 134, 98, 897
